rank,title,rating,votes,genres,duration_min,content_rating,year,country,actors,url
218,Maharaja,8.4,68113,"['Action', 'Crime', 'Drama']",141,,,,[],https://www.imdb.com/title/tt26548265/
219,The Terminator,8.1,964507,"['Action', 'Adventure', 'Sci-Fi']",107,R,,,[],https://www.imdb.com/title/tt0088247/
220,Det sjunde inseglet,8.1,208418,"['Drama', 'Fantasy']",96,Not Rated,,,[],https://www.imdb.com/title/tt0050976/
221,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1265653,"['Action', 'Adventure', 'Fantasy']",143,PG-13,,,[],https://www.imdb.com/title/tt0325980/
222,Room,8.1,467736,"['Drama', 'Thriller']",118,R,,,[],https://www.imdb.com/title/tt3170832/
223,La haine,8.1,211599,"['Crime', 'Drama']",98,Not Rated,,,[],https://www.imdb.com/title/tt0113247/
224,Jai Bhim,8.7,225543,"['Crime', 'Drama']",164,Approved,,,[],https://www.imdb.com/title/tt15097216/
225,Hotel Rwanda,8.1,383727,"['Biography', 'Drama', 'History']",121,PG-13,,,[],https://www.imdb.com/title/tt0395169/
226,Platoon,8.1,456036,"['Drama', 'War']",120,R,,,[],https://www.imdb.com/title/tt0091763/
227,The Best Years of Our Lives,8.1,74451,"['Drama', 'Romance', 'War']",170,Approved,,,[],https://www.imdb.com/title/tt0036868/
228,Before Sunset,8.1,302029,"['Drama', 'Romance']",80,R,,,[],https://www.imdb.com/title/tt0381681/
229,The Exorcist,8.1,477543,['Horror'],122,R,,,[],https://www.imdb.com/title/tt0070047/
230,La passion de Jeanne d&apos;Arc,8.1,64915,"['Biography', 'Drama', 'History']",114,Passed,,,[],https://www.imdb.com/title/tt0019254/
231,The Sound of Music,8.1,276275,"['Biography', 'Drama', 'Family']",172,G,,,[],https://www.imdb.com/title/tt0059742/
232,The Wizard of Oz,8.1,450429,"['Adventure', 'Family', 'Fantasy']",102,G,,,[],https://www.imdb.com/title/tt0032138/
233,The Incredibles,8.0,854951,"['Animation', 'Action', 'Adventure']",115,PG,,,[],https://www.imdb.com/title/tt0317705/
234,Hachi: A Dog&apos;s Tale,8.1,328175,"['Biography', 'Drama', 'Family']",93,G,,,[],https://www.imdb.com/title/tt1028532/
235,Rush,8.1,534288,"['Biography', 'Drama', 'Sport']",123,R,,,[],https://www.imdb.com/title/tt1979320/
236,Stand by Me,8.1,464237,"['Adventure', 'Comedy', 'Drama']",89,R,,,[],https://www.imdb.com/title/tt0092005/
237,Network,8.1,179119,['Drama'],121,R,,,[],https://www.imdb.com/title/tt0074958/
238,Babam ve Oglum,8.2,97332,"['Drama', 'Family']",112,Not Rated,,,[],https://www.imdb.com/title/tt0476735/
239,The Iron Giant,8.1,244594,"['Animation', 'Action', 'Adventure']",86,PG,,,[],https://www.imdb.com/title/tt0129167/
240,Ah-ga-ssi,8.1,188130,"['Drama', 'Romance', 'Thriller']",145,Not Rated,,,[],https://www.imdb.com/title/tt4016934/
241,To Be or Not to Be,8.1,46956,"['Comedy', 'Romance', 'War']",99,Approved,,,[],https://www.imdb.com/title/tt0035446/
242,Koe no katachi,8.1,120392,"['Animation', 'Drama']",130,Not Rated,,,[],https://www.imdb.com/title/tt5323662/
243,La battaglia di Algeri,8.1,70987,"['Drama', 'War']",121,Not Rated,,,[],https://www.imdb.com/title/tt0058946/
244,The Grapes of Wrath,8.1,104674,['Drama'],129,Approved,,,[],https://www.imdb.com/title/tt0032551/
245,Into the Wild,8.0,679090,"['Adventure', 'Biography', 'Drama']",148,R,,,[],https://www.imdb.com/title/tt0758758/
246,Groundhog Day,8.0,716252,"['Comedy', 'Drama', 'Fantasy']",101,PG,,,[],https://www.imdb.com/title/tt0107048/
247,The Help,8.1,512717,['Drama'],146,PG-13,,,[],https://www.imdb.com/title/tt1454029/
248,Amores perros,8.0,267753,"['Drama', 'Thriller']",154,R,,,[],https://www.imdb.com/title/tt0245712/
249,Gangs of Wasseypur,8.2,107506,"['Action', 'Comedy', 'Crime']",321,Not Rated,,,[],https://www.imdb.com/title/tt1954470/
250,Rebecca,8.1,159113,"['Drama', 'Mystery', 'Romance']",130,Approved,,,[],https://www.imdb.com/title/tt0032976/
